grid_id,lat,lon,land_cover,priority,LST,NDVI,recommended_action,cost_estimate,cooling_c,cooling_per_rupee
+102093+29063,26.108186260033023,91.71215145896916,cropland,Medium,27.368277406312863,0.5003613327288476,Tree cover,334425.0,0.8,2.39216565747178e-06
+102093+29064,26.109084575396235,91.7121514590814,cropland,Medium,27.36073544493368,0.5718397236776345,Tree cover,334425.0,0.8,2.39216565747178e-06
+102093+29065,26.109982890374127,91.71215145916284,cropland,Medium,27.425166673582343,0.5272932817086108,Tree cover,334425.0,0.8,2.39216565747178e-06
+102093+29066,26.11088120628283,91.7121514589874,cropland,Medium,27.719783289210923,0.4543412027569643,Tree cover,334425.0,0.8,2.39216565747178e-06
+102093+29067,26.11177952116974,91.7121514590068,cropland,Medium,27.18033165713689,0.3326831543489647,Tree cover,334425.0,0.8,2.39216565747178e-06
+102093+29068,26.112677836259103,91.71215145922076,built_up,Medium,27.704484467139256,0.3286684957792691,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29069,26.11357615196417,91.71215145917787,built_up,High,28.21602990730448,0.3171765894587243,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29070,26.114474467321543,91.71215145887815,built_up,High,28.52205905797137,0.345863125913603,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29071,26.11537278230139,91.71215145899926,built_up,High,28.9717823049384,0.285928473113073,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29072,26.116271097574,91.71215145931518,built_up,High,28.968668005729768,0.2725031584481461,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29073,26.117169413135976,91.7121514591482,built_up,High,29.168545795394564,0.3908679044361424,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29074,26.118067728506578,91.7121514589504,built_up,High,29.223209402302423,0.3349817067871353,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29075,26.118966043256,91.7121514589472,built_up,High,29.000995982601275,0.3622084464501852,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29086,26.12884751192466,91.71215145889664,built_up,Medium,26.90125286541699,0.4160177827727579,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29119,26.15849191604276,91.71215145920507,built_up,Medium,26.59098079864033,0.3764848779676494,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29120,26.159390230958238,91.71215145915716,built_up,Medium,27.137590892381297,0.4373941312104105,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29121,26.16028854735679,91.71215145907796,built_up,Medium,26.38037773122208,0.4557252278264805,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29122,26.16118686147737,91.71215145896754,built_up,Medium,26.18106068395941,0.4140779112402969,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29123,26.16208517726936,91.71215145905175,built_up,Medium,26.92372476039108,0.4481553178974332,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29124,26.16298349263449,91.71215145910496,built_up,High,27.615151777534923,0.2975700152789129,Cool roof,535080.0,1.0,1.868879419899828e-06
+102093+29125,26.16388180763292,91.71215145912714,built_up,Medium,27.512865283908656,0.4097028103216568,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29063,26.108186260185096,91.71304977461033,cropland,Medium,27.706663486898623,0.5228242258718835,Tree cover,334425.0,0.8,2.39216565747178e-06
+102094+29064,26.10908457534147,91.71304977461875,cropland,Medium,27.40374418242415,0.5909890670125768,Tree cover,334425.0,0.8,2.39216565747178e-06
+102094+29065,26.109982890294432,91.71304977437056,cropland,Medium,27.47519943209785,0.5270783413949315,Tree cover,334425.0,0.8,2.39216565747178e-06
