grid_id,lat,lon,priority,vegetation_class,LST,exclusion_reason
+102206+29163,26.198017788419666,91.81366108636188,Low,vegetated,24.734437599567045,Low priority - no action needed (ML tiering)
+102206+29164,26.198916103703784,91.81366108636188,Low,vegetated,23.939634582026866,Low priority - no action needed (ML tiering)
+102206+29165,26.19981441898791,91.81366108636188,Low,vegetated,23.54715720371162,Low priority - no action needed (ML tiering)
+102206+29166,26.200712734272027,91.81366108636188,Low,vegetated,23.36044010383381,Low priority - no action needed (ML tiering)
+102206+29167,26.20161104955614,91.81366108636188,Low,vegetated,23.17115574203048,Low priority - no action needed (ML tiering)
+102206+29168,26.20250936484027,91.81366108636188,Low,vegetated,22.8027347650908,Low priority - no action needed (ML tiering)
+102206+29169,26.203407680124386,91.81366108636188,Low,vegetated,22.69073792156078,Low priority - no action needed (ML tiering)
+102206+29170,26.2043059954085,91.81366108636188,Low,vegetated,22.53513757014504,Low priority - no action needed (ML tiering)
+102206+29171,26.205204310692626,91.81366108636188,Low,vegetated,22.85915357706008,Low priority - no action needed (ML tiering)
+102206+29172,26.206102625976747,91.81366108636188,Low,vegetated,23.24022581033521,Low priority - no action needed (ML tiering)
+102207+29152,26.188136320294355,91.814559401646,Low,vegetated,24.24513480197955,Low priority - no action needed (ML tiering)
+102207+29153,26.18903463557848,91.814559401646,Low,vegetated,25.00043213367089,Low priority - no action needed (ML tiering)
+102207+29154,26.1899329508626,91.814559401646,Low,vegetated,24.499526298344986,Low priority - no action needed (ML tiering)
+102207+29155,26.19083126614671,91.814559401646,Low,sparse,24.418591760565644,Low priority - no action needed (ML tiering)
+102207+29156,26.19172958143083,91.814559401646,Low,vegetated,25.44302811343927,Low priority - no action needed (ML tiering)
+102207+29157,26.19262789671495,91.814559401646,Low,vegetated,24.66247180905728,Low priority - no action needed (ML tiering)
+102207+29158,26.19352621199907,91.814559401646,Low,sparse,24.247450334213223,Low priority - no action needed (ML tiering)
+102207+29159,26.19442452728319,91.814559401646,Low,vegetated,24.634838835914824,Low priority - no action needed (ML tiering)
+102207+29160,26.195322842567304,91.814559401646,Low,vegetated,24.81007441993716,Low priority - no action needed (ML tiering)
+102207+29161,26.19622115785143,91.814559401646,Low,vegetated,24.70405096025384,Low priority - no action needed (ML tiering)
+102207+29162,26.197119473135547,91.814559401646,Low,vegetated,24.642966180956712,Low priority - no action needed (ML tiering)
+102207+29163,26.198017788419666,91.814559401646,Low,vegetated,24.612306040310767,Low priority - no action needed (ML tiering)
