system:index,Heat_Risk,LST,LandCover,Latitude,Longitude,NDBI,NDVI,Vegetation,count,grid_id,.geo
+102202+29155,-0.14823475940528302,25.11059028545654,50.0,26.190831266083446,91.81006782556919,0.020302330257390696,0.3132769226521784,0.07914035844542923,1,+102202+29155,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.19038210850465],[91.81051698286745,26.19038210850465],[91.81051698286745,26.19128042378877],[91.80961866758334,26.19128042378877],[91.80961866758334,26.19038210850465]]]}"
+102202+29156,-0.28151381569683503,25.920049917845205,50.0,26.19172958189325,91.81006782543066,-0.1011228084746045,0.5043745241143494,0.24165653555041372,1,+102202+29156,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.19128042378877],[91.81051698286745,26.19128042378877],[91.81051698286745,26.19217873907289],[91.80961866758334,26.19217873907289],[91.80961866758334,26.19128042378877]]]}"
+102202+29157,-0.2049058250494849,26.049838143807545,50.0,26.19262789670214,91.81006782551071,-0.040535711582227345,0.43703712103573805,0.16043766422212635,1,+102202+29157,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.19217873907289],[91.81051698286745,26.19217873907289],[91.81051698286745,26.19307705435701],[91.80961866758334,26.19307705435701],[91.80961866758334,26.19217873907289]]]}"
+102202+29158,-0.10974360597480587,26.266060615347843,50.0,26.19352621191501,91.81006782558357,0.0034707245904326994,0.35731936421393745,0.4216635946507707,1,+102202+29158,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.19307705435701],[91.81051698286745,26.19307705435701],[91.81051698286745,26.19397536964113],[91.80961866758334,26.19397536964113],[91.80961866758334,26.19307705435701]]]}"
+102202+29159,-0.14922614659222058,26.371696926694586,50.0,26.194424527033586,91.81006782542329,-0.0290089476134593,0.40434735564183344,0.1183967998745049,1,+102202+29159,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.19397536964113],[91.81051698286745,26.19397536964113],[91.81051698286745,26.19487368492525],[91.80961866758334,26.19487368492525],[91.80961866758334,26.19397536964113]]]}"
+102202+29160,-0.2972641351997817,25.98499348962346,50.0,26.195322843282344,91.81006782548157,-0.07756525398191555,0.5247636701728855,0.22918545825326486,1,+102202+29160,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.19487368492525],[91.81051698286745,26.19487368492525],[91.81051698286745,26.195772000209367],[91.80961866758334,26.195772000209367],[91.80961866758334,26.19487368492525]]]}"
+102202+29161,-0.38868102213773387,25.833523187684808,10.0,26.196221157989914,91.81006782553244,-0.13588688756390538,0.6053612498295057,0.9054080552178517,1,+102202+29161,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.195772000209367],[91.81051698286745,26.195772000209367],[91.81051698286745,26.19667031549349],[91.80961866758334,26.19667031549349],[91.80961866758334,26.195772000209367]]]}"
+102202+29162,-0.4314154815294363,25.30670660825318,10.0,26.197119473007653,91.81006782557591,-0.14570343085072338,0.6104659535475203,0.8296795952782462,1,+102202+29162,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.19667031549349],[91.81051698286745,26.19667031549349],[91.81051698286745,26.197568630777607],[91.80961866758334,26.197568630777607],[91.80961866758334,26.19667031549349]]]}"
+102202+29163,-0.5170451936081492,24.883171264592065,10.0,26.198017788793745,91.81006782561244,-0.18862333524553387,0.6658431410790109,0.9238401505941407,1,+102202+29163,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.197568630777607],[91.81051698286745,26.197568630777607],[91.81051698286745,26.198466946061725],[91.80961866758334,26.198466946061725],[91.80961866758334,26.197568630777607]]]}"
+102202+29164,-0.6808630767903953,23.92098743446741,10.0,26.19891610385822,91.81006782564177,-0.2646532262652908,0.7609336078237814,1.0,1,+102202+29164,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.198466946061725],[91.81051698286745,26.198466946061725],[91.81051698286745,26.199365261345847],[91.80961866758334,26.199365261345847],[91.80961866758334,26.198466946061725]]]}"
