system:index,Heat_Risk,LST,NDVI,count,grid_id,.geo
+102146+29161,0.09306684361179635,25.87651237547499,0.12668404035070305,1,+102146+29161,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.195772000209367],[91.76021132695676,26.195772000209367],[91.76021132695676,26.19667031549349],[91.75931301167265,26.19667031549349],[91.75931301167265,26.195772000209367]]]}"
+102146+29162,0.08290425049584443,25.684679979242336,0.12314431945003672,1,+102146+29162,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.19667031549349],[91.76021132695676,26.19667031549349],[91.76021132695676,26.197568630777607],[91.75931301167265,26.197568630777607],[91.75931301167265,26.19667031549349]]]}"
+102146+29163,0.09966692290859942,24.14214867717879,-0.003799160252971572,1,+102146+29163,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.197568630777607],[91.76021132695676,26.197568630777607],[91.76021132695676,26.198466946061725],[91.75931301167265,26.198466946061725],[91.75931301167265,26.197568630777607]]]}"
+102146+29164,0.05119088686241568,22.3321873655729,-0.08460607503577978,1,+102146+29164,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.198466946061725],[91.76021132695676,26.198466946061725],[91.76021132695676,26.199365261345847],[91.75931301167265,26.199365261345847],[91.75931301167265,26.198466946061725]]]}"
+102146+29165,0.03873820950870657,22.033806173299602,-0.09346633998730643,1,+102146+29165,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.199365261345847],[91.76021132695676,26.199365261345847],[91.76021132695676,26.200263576629965],[91.75931301167265,26.200263576629965],[91.75931301167265,26.199365261345847]]]}"
+102147+29123,0.1986127916191342,27.178443034004896,0.11413313938121626,1,+102147+29123,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.161636019412825],[91.76110964224088,26.161636019412825],[91.76110964224088,26.162534334696947],[91.76021132695676,26.162534334696947],[91.76021132695676,26.161636019412825]]]}"
+102147+29124,0.19654602477094296,27.306520324979054,0.12534828415613336,1,+102147+29124,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.162534334696947],[91.76110964224088,26.162534334696947],[91.76110964224088,26.163432649981065],[91.76021132695676,26.163432649981065],[91.76021132695676,26.162534334696947]]]}"
+102147+29125,0.2118042172746572,27.693603935380736,0.13773892096682344,1,+102147+29125,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.163432649981065],[91.76110964224088,26.163432649981065],[91.76110964224088,26.164330965265183],[91.76021132695676,26.164330965265183],[91.76021132695676,26.163432649981065]]]}"
+102147+29126,0.22048733810459126,27.980028396141787,0.14951469019125077,1,+102147+29126,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.164330965265183],[91.76110964224088,26.164330965265183],[91.76110964224088,26.165229280549305],[91.76021132695676,26.165229280549305],[91.76021132695676,26.164330965265183]]]}"
+102147+29127,0.19889387714229917,28.046120658219284,0.17582902701622188,1,+102147+29127,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.165229280549305],[91.76110964224088,26.165229280549305],[91.76110964224088,26.166127595833423],[91.76021132695676,26.166127595833423],[91.76021132695676,26.165229280549305]]]}"
+102147+29128,0.1774637961082766,27.583886484829613,0.1642423813795524,1,+102147+29128,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.166127595833423],[91.76110964224088,26.166127595833423],[91.76110964224088,26.16702591111754],[91.76021132695676,26.16702591111754],[91.76021132695676,26.166127595833423]]]}"
+102147+29129,0.18136728635225924,27.501530061717897,0.15445628948473342,1,+102147+29129,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.16702591111754],[91.76110964224088,26.16702591111754],[91.76110964224088,26.167924226401663],[91.76021132695676,26.167924226401663],[91.76021132695676,26.16702591111754]]]}"
+102147+29130,0.2178071720165706,27.685783299064248,0.13117734934516176,1,+102147+29130,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.167924226401663],[91.76110964224088,26.167924226401663],[91.76110964224088,26.16882254168578],[91.76021132695676,26.16882254168578],[91.76021132695676,26.167924226401663]]]}"
